amfi_code,alpha,beta,r_squared,p_value,tracking_error_n100,tracking_error_n50
100016,0.02742552697909209,0.03802354497808305,0.0016544929277733699,0.16825221257356726,0.20866952930654742,0.21058873073214918
100025,0.04189955325233601,0.004392924257034658,0.00030646796369970873,0.5533107343025864,0.1597883353814187,0.16269242652117538
100033,0.27624929539376475,-0.019057717238595888,0.00024530534021080205,0.5958653777035009,0.2469879940117599,0.24952887855150382
101206,0.21985733840176958,-0.02399392941401089,0.0006569987412847593,0.385371409014522,0.21588320973531405,0.21722783511328025
101207,0.10292698664994027,0.018580709650312575,0.0001256462922356779,0.7042752408791212,0.29978349616869027,0.30024096101805
101208,0.0608991021817661,-0.00013555492301913492,1.7352171937965648e-05,0.887832299139655,0.1557312600305232,0.15872250815812347
102885,0.15716009911170328,0.05860856418190701,0.0050488743820379925,0.015997050674181983,0.1945736721899747,0.19667879968530452
102886,0.026138490978515692,0.007067426297421751,3.678595964385807e-05,0.8372848724546945,0.23825186393812742,0.24042129504479487
102887,0.16724586401532124,-0.021273891162778537,0.0004414136807961337,0.4767917249579779,0.22379260882976637,0.22632249844691582
118632,0.22483815113700006,-0.031317684238539645,0.0011867025930928112,0.24330146423289903,0.2139033141467906,0.21505831645814633
118633,0.15611058308904835,-0.0036815707548383397,1.6755502600646795e-05,0.8897651414309939,0.20973923231954383,0.21155233750906077
118634,0.1739292844124132,0.019626645152284575,0.00014643181341367703,0.6819881648019444,0.29492835409169954,0.2962052550090478
118635,0.14617500159500693,0.023688748280184396,0.0008063021593155079,0.33621820892994647,0.1998218435200981,0.20237766415198918
118636,0.049059994118328606,0.007949608332271187,0.0009635890618330397,0.29310861632915425,0.15944711801393727,0.1619579794307597
119092,0.07708844482733955,-0.03588813004090109,0.0016028261059161859,0.17505474563388201,0.21312092393581458,0.2154435120126682
119093,0.08350840194753047,-0.0017683245770875823,3.873282995488674e-06,0.9468692665316525,0.20942522402532618,0.2112667569288627
119094,0.25442250794926907,0.019824979826448614,0.0002527422112195997,0.5903451332992548,0.24682647631692903,0.2479688448417872
119095,0.04585628689470153,0.0004592615721527504,8.130258974096987e-08,0.9922967753531228,0.29501035409774684,0.29643559198270597
119120,0.05481526760722341,0.005508847174885233,0.0004670439298489583,0.464265721749915,0.15977146464031342,0.16268771122165376
119551,0.039284457559607994,0.8829508488930589,0.9999614903390659,0.0,0.01823605005014243,0.03635315887961957
119552,0.19922822442672244,-0.006202989351593792,4.7961225093720935e-05,0.8145991196151121,0.20964513134699791,0.18993443417525596
119598,0.2941142157327176,0.03933244669334222,0.0005928239316469843,0.40963002569790546,0.2924373710168021,0.29346093238702786
119599,0.07606702178238377,-0.11666153806808773,0.005295223308259703,0.013617196388171668,0.30351601785436966,0.3061345852586738
120503,0.17859685717320373,-0.012906200970428687,0.00020927367756166213,0.624236880644792,0.21005463189353216,0.2126826698211387
120504,0.21224152121535356,0.0009493778472885329,1.0580714684289912e-06,0.972215861847169,0.21167390614508588,0.2130143614949647
120505,0.2907552264989942,0.008737466923687556,4.9686479381739543e-05,0.8113556318670202,0.24700372672497414,0.2489418774464421
120506,0.16859517392883597,-0.021953441871882685,0.0005032112263678243,0.44746035163110476,0.2201824228806851,0.22136358443844387
120507,0.06736306900522268,0.00039311229233120735,0.00015342895658110802,0.6749033946932063,0.15564499288426678,0.15857537691376183
120841,0.13759516930228793,-0.027846290658645186,0.0010360340074976517,0.2756466990086923,0.2090365180783738,0.21180101734115928
120842,0.07585365368068636,0.012645979815233762,0.00012095664607696858,0.7095916194966653,0.23585911511082305,0.23829126218934701
120843,0.2812593981805842,-0.03986387781638696,0.0015249316264791125,0.18591837738720354,0.2266950648454825,0.2281773941983751
120844,0.06483098357957078,-0.0013194326090354995,0.0016002115064612569,0.17540729976987443,0.15591752305115003,0.15889131490511463
125497,0.1754704818729329,0.015329862967334212,0.0002645195395864411,0.5818136292188101,0.21212024298525223,0.2137030939251065
125498,0.11250876021036642,0.03527605978034676,0.0008948439845855731,0.31100616355641775,0.23704937691206096,0.24026671601351893
148567,0.2695794814007827,0.004543579758169862,2.4818698044431785e-05,0.866043569439195,0.210109617219805,0.21238899318676435
148568,0.20601264365742003,0.008774630732145497,7.833364697426973e-05,0.7644149549115117,0.2181761164923096,0.22111827290256697
148569,0.2871617463998817,-0.017959047648966497,0.0002500753671559703,0.592312520508126,0.23733309742495748,0.23870645074064
149322,0.13515615396363104,-0.016341581151610364,0.0003139244114284144,0.5485224079924563,0.2135765130727092,0.21573663086340972
149323,0.269402862839322,-0.016092213543005187,0.00019915772548069198,0.6327447018518723,0.2376807432905086,0.23859418612137276
149324,0.3188048192945346,-0.08230304092269863,0.002658861722519502,0.08061567756898824,0.299850547486183,0.30161547712111414
