overall_rank,scheme_name,amfi_code,composite_score,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,expense_ratio,tracking_error_n100
1,Scheme 101206,101206,90.0,0.4509392715300502,0.32528591355184844,0.20442729550832484,1.7866701720886184,3.130046333872989,0.21985733840176958,-0.02399392941401089,-0.11291596329323078,0.7173150640164407,0.21588320973531405
2,Scheme 100033,100033,88.88,0.4773458959806238,0.3362921056230763,0.260740682788986,1.4326252747049888,2.395964665387072,0.27624929539376475,-0.019057717238595888,-0.1621720857464485,0.4526773189844794,0.2469879940117599
3,Scheme 119094,119094,86.62,0.30918202012534524,0.3606601747719518,0.24445308534360555,1.5234625953077197,2.600271645834364,0.25442250794926907,0.019824979826448614,-0.20960883862039192,0.5545886522771858,0.24682647631692903
4,Scheme 120504,120504,83.25,0.11500730028249406,0.28369809430069837,0.20234028033314222,1.5225663834433312,2.67765671386118,0.21224152121535356,0.0009493778472885329,-0.12588275606922514,0.745889738355154,0.21167390614508588
5,Scheme 148567,148567,78.5,0.1458071475984759,0.3127857318272198,0.2679927700697151,1.745743632096389,2.875612003018011,0.2695794814007827,0.004543579758169862,-0.1126572907502827,2.1628219222151155,0.210109617219805
6,Scheme 120505,120505,71.63,0.3035341170540422,0.30206534630200976,0.2837676208804263,1.2288941373946367,2.1132593850311974,0.2907552264989942,0.008737466923687556,-0.1818851357211629,2.2394881171350796,0.24700372672497414
7,Scheme 119598,119598,71.5,0.8453224636924352,0.27814418371202754,0.28033223731546975,0.8478093797940354,1.5025248017126926,0.2941142157327176,0.03933244669334222,-0.28706005721764555,1.3580548272645376,0.2924373710168021
8,Scheme 120843,120843,70.12,0.2848107293384283,0.2566188265022562,0.2674249401072899,1.206137024271382,2.182289717411466,0.2812593981805842,-0.03986387781638696,-0.1297396816518679,2.089334081700172,0.2266950648454825
9,Scheme 149323,149323,69.38,0.22305604128077272,0.24242464971409516,0.256118065778393,0.999791818271291,1.6559266107621327,0.269402862839322,-0.016092213543005187,-0.17248105753451382,1.3955986811079812,0.2376807432905086
10,Scheme 119551,119551,67.62,0.48883881388717176,0.27727427651752534,0.22384873172214603,1.544775271094732,2.736342975789458,0.039284457559607994,0.8829508488930589,-0.15012385498645334,0.9110418327199362,0.01823605005014243
